1060104834	20220825	202208	2022	2022.6438											BUS	COMPANIES						BUS			0	040	040	04	1	1.0	5	1	5	4.14746543778802	0								4	Nonthaburi, Nonthaburi, Thailand	TH	TH38	26803	13.8622	100.513	-3252231	4	Nonthaburi, Nonthaburi, Thailand	TH	TH38	26803	13.8622	100.513	-3252231	20220825080000	https://www.nationthailand.com/business/corporate/40019344
1060104835	20220825	202208	2022	2022.6438											BUS	BANK						BUS			1	042	042	04	1	1.9	10	1	10	3.78600823045268	0								5	Lagos State, Lagos, Nigeria	NI	NI05	22927	6.58333	3.75	-2017361	5	Lagos State, Lagos, Nigeria	NI	NI05	22927	6.58333	3.75	-2017361	20220825080000	https://www.thenigerianvoice.com/news/311374/firstbank-commemorates-its-annual-corporate-responsibility-.html
1060104836	20220825	202208	2022	2022.6438											COP	POLICE						COP			0	020	020	02	1	3.0	2	1	2	-2.64650283553875	0								3	Peachtree City, Georgia, United States	US	USGA		33.3968	-84.5958	320310	3	Peachtree City, Georgia, United States	US	USGA		33.3968	-84.5958	320310	20220825080000	https://www.fox35orlando.com/news/peachtree-city-walmart-fire
1060104837	20220825	202208	2022	2022.6438											COP	DEPUTIES						COP			0	040	040	04	1	1.0	5	1	5	-7.2265625	0								4	Bern, Bern, Switzerland	SZ	SZ05	26290	46.9167	7.46667	-2551235	4	Bern, Bern, Switzerland	SZ	SZ05	26290	46.9167	7.46667	-2551235	20220825080000	https://www.thepostathens.com/article/2022/08/athens-county-sherrifs-office-police-blotter
1060104838	20220825	202208	2022	2022.6438											COP	DEPUTIES						COP			1	040	040	04	1	1.0	5	1	5	-7.2265625	0								4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20220825080000	https://www.thepostathens.com/article/2022/08/athens-county-sherrifs-office-police-blotter
1060104839	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	042	042	04	1	1.9	2	1	2	-1.31578947368421	0								4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	20220825080000	https://www.miragenews.com/police-appeal-to-locate-teen-missing-from-843097/
1060104840	20220825	202208	2022	2022.6438											COP	PRISON						COP			0	173	173	17	4	-5.0	3	1	3	-5.54528650646947	0								4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	20220825080000	https://www.rfa.org/english/news/vietnam/vietnamese-journalist-loses-appeal-08252022015721.html
1060104841	20220825	202208	2022	2022.6438											CRM	CONVICTS						CRM			1	040	040	04	1	1.0	10	1	10	-8.22368421052633	0								4	Godhra, Gujarat, India	IN	IN09	70121	20.9167	70.9167	-2096429	4	Godhra, Gujarat, India	IN	IN09	70121	20.9167	70.9167	-2096429	20220825080000	https://www.mid-day.com/news/india-news/article/bilkis-bano-case-sc-notice-to-centre-gujarat-on-plea-against-remission-to-11-convicts-23242664
1060104842	20220825	202208	2022	2022.6438											CVL	RESIDENTS						CVL			1	020	020	02	1	3.0	8	1	8	-3.67553865652725	0								4	Straume, Adazu Novads, Latvia	LG	LG34	18784	57.0711	24.4233	-3208429	4	Straume, Adazu Novads, Latvia	LG	LG34	18784	57.0711	24.4233	-3208429	20220825080000	https://bnn-news.com/court-of-law-commences-administrative-case-involving-latvian-corruption-watchdog-237599
1060104843	20220825	202208	2022	2022.6438											CVL	RESIDENTS						CVL			1	020	020	02	1	3.0	2	1	2	-3.67553865652725	0								4	Ventspils, Ventspils Novads, Latvia	LG	LGE5	18790	57.3894	21.5606	-3214120	4	Ventspils, Ventspils Novads, Latvia	LG	LGE5	18790	57.3894	21.5606	-3214120	20220825080000	https://bnn-news.com/court-of-law-commences-administrative-case-involving-latvian-corruption-watchdog-237599
1060104844	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			1	042	042	04	1	1.9	8	1	8	-9.22509225092255	0								4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	20220825080000	https://www.ibtimes.com/rohingya-refugees-mark-fifth-genocide-remembrance-day-3605663
1060104845	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			0	051	051	05	1	3.4	10	1	10	3.24189526184539	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20220825080000	https://pamplinmedia.com/msp/129-news/555673-444748-oregon-launches-internet-speed-tests-surveys
1060104846	20220825	202208	2022	2022.6438											DEU	GERMANY	DEU								0	043	043	04	1	2.8	2	1	2	-3.95480225988701	0								1	Germany	GM	GM		51.5	10.5	GM	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220825080000	https://www.thelocal.fr/20140819/liberation-of-paris-ten-things-to-know/
1060104847	20220825	202208	2022	2022.6438											DEUUAF	GERMAN	DEU					UAF			0	190	190	19	4	-10.0	6	1	6	-3.95480225988701	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220825080000	https://www.thelocal.fr/20140819/liberation-of-paris-ten-things-to-know/
1060104848	20220825	202208	2022	2022.6438											DZA	ALGERIA	DZA								1	020	020	02	1	3.0	52	13	52	-3.82608695652174	0								4	El Mouradia, Tipaza, Algeria	AG	AG55	37759	36.7458	3.03916	-468424	4	El Mouradia, Tipaza, Algeria	AG	AG55	37759	36.7458	3.03916	-468424	20220825080000	https://www.hampshirechronicle.co.uk/news/national/20755585.french-leader-macron-heads-algeria-bid-heal-wounds/
1060104849	20220825	202208	2022	2022.6438											DZA	ALGERIA	DZA								1	033	033	03	1	5.2	26	13	26	-3.82608695652174	0								4	El Mouradia, Tipaza, Algeria	AG	AG55	37759	36.7458	3.03916	-468424	4	El Mouradia, Tipaza, Algeria	AG	AG55	37759	36.7458	3.03916	-468424	20220825080000	https://www.hampshirechronicle.co.uk/news/national/20755585.french-leader-macron-heads-algeria-bid-heal-wounds/
1060104850	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			0	031	031	03	1	5.2	6	1	6	2.56673511293635	0								3	Ojai, California, United States	US	USCA	CA111	34.448	-119.243	1652763	3	Ojai, California, United States	US	USCA	CA111	34.448	-119.243	1652763	20220825080000	https://jewishjournal.com/community/350928/rabbis-of-la-rabbi-aaron-finkelstein-the-educator-with-a-pastoral-focus/
1060104851	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			0	031	031	03	1	5.2	4	1	4	2.56673511293635	0								3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	20220825080000	https://jewishjournal.com/community/350928/rabbis-of-la-rabbi-aaron-finkelstein-the-educator-with-a-pastoral-focus/
1060104852	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			0	046	046	04	1	7.0	6	1	6	2.56673511293635	0								3	Ojai, California, United States	US	USCA	CA111	34.448	-119.243	1652763	3	Ojai, California, United States	US	USCA	CA111	34.448	-119.243	1652763	20220825080000	https://jewishjournal.com/community/350928/rabbis-of-la-rabbi-aaron-finkelstein-the-educator-with-a-pastoral-focus/
1060104853	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			0	046	046	04	1	7.0	1	1	1	2.56673511293635	0								3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	20220825080000	https://jewishjournal.com/community/350928/rabbis-of-la-rabbi-aaron-finkelstein-the-educator-with-a-pastoral-focus/
1060104854	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			1	0841	084	08	2	7.0	10	1	10	7.22433460076046	0								5	Ogun State, Ogun, Nigeria	NI	NI16	22963	7	3.58333	-2022272	5	Ogun State, Ogun, Nigeria	NI	NI16	22963	7	3.58333	-2022272	20220825080000	https://tribuneonlineng.com/ogun-public-school-teacher-donates-equips-library/
1060104855	20220825	202208	2022	2022.6438											EDUEDU	SCHOOL						EDU	EDU		1	173	173	17	4	-5.0	20	2	20	-6.93069306930693	0								0								0								20220825080000	https://www.smh.com.au/national/nsw/say-goodbye-to-mum-and-dad-teen-jailed-after-raping-schoolmate-20220825-p5bcun.html
1060104856	20220825	202208	2022	2022.6438											ESP	BARCELONA	ESP								1	030	030	03	1	4.0	8	1	8	0.70921985815603	0								4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	20220825080000	https://www.ibtimes.co.uk/bernardo-silva-barcelona-pep-guardiola-accepts-amid-ceo-denial-1704381
1060104857	20220825	202208	2022	2022.6438											ESP	SPAIN	ESP								1	030	030	03	1	4.0	2	1	2	0.70921985815603	0								4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	1	Portugal	PO	PO		39.5	-8	PO	20220825080000	https://www.ibtimes.co.uk/bernardo-silva-barcelona-pep-guardiola-accepts-amid-ceo-denial-1704381
1060104858	20220825	202208	2022	2022.6438											FRA	FRENCH	FRA								1	190	190	19	4	-10.0	5	1	5	-3.95480225988701	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220825080000	https://www.thelocal.fr/20140819/liberation-of-paris-ten-things-to-know/
1060104859	20220825	202208	2022	2022.6438											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	1	1	1	-0.76530612244898	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220825080000	https://www.ibtimes.co.uk/meghan-markle-prince-harry-threatening-royals-return-part-time-role-report-1704369
1060104860	20220825	202208	2022	2022.6438											GBR	LONDON	GBR								0	042	042	04	1	1.9	2	1	2	-0.76530612244898	0								1	Germany	GM	GM		51.5	10.5	GM	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20220825080000	https://www.ibtimes.co.uk/meghan-markle-prince-harry-threatening-royals-return-part-time-role-report-1704369
1060104861	20220825	202208	2022	2022.6438											GBR	UNITED KINGDOM	GBR								0	130	130	13	3	-4.4	2	1	2	-0.76530612244898	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220825080000	https://www.ibtimes.co.uk/meghan-markle-prince-harry-threatening-royals-return-part-time-role-report-1704369
1060104862	20220825	202208	2022	2022.6438											GOV	AUDITOR GENERAL						GOV			1	010	010	01	1	0.0	5	1	5	-2.81195079086116	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20220825080000	https://barbadostoday.bb/2022/08/25/missing-answers/
1060104863	20220825	202208	2022	2022.6438											GOV	DIRECTOR GENERAL						GOV			1	020	020	02	1	3.0	1	1	1	1.11524163568773	0								4	Caspian Sea, Oceans (general), Oceans	OS	OS00	25069	42	50	-1506347	4	Turkmenbashi, Balkan, Turkmenistan	TX	TX02	147324	40.0222	52.9552	-2559540	20220825080000	http://www.newscentralasia.net/2022/08/25/turkmen-delegation-discusses-opening-of-logistics-center-in-astrakhan/
1060104864	20220825	202208	2022	2022.6438											GOV	MINIST OF INTERIOR						GOV			1	031	031	03	1	5.2	2	1	2	0.53763440860215	0								4	Ministry Of Interior, Masqat, Oman	MU	MU06	23611	23.5995	58.433	11333033	4	Ministry Of Interior, Masqat, Oman	MU	MU06	23611	23.5995	58.433	11333033	20220825080000	https://www.arabnews.com/node/2149931/business-economy
1060104865	20220825	202208	2022	2022.6438											GOV	GOVERNMENT						GOV			1	100	100	10	3	-5.0	10	1	10	0.42462845010616	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220825080000	https://tribuneonlineng.com/nigeria-needs-to-prioritise-primary-not-university-education-pat-utomi/
1060104866	20220825	202208	2022	2022.6438											GOV	PRINCE						GOV			0	130	130	13	3	-4.4	6	1	6	-0.76530612244898	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220825080000	https://www.ibtimes.co.uk/meghan-markle-prince-harry-threatening-royals-return-part-time-role-report-1704369
1060104867	20220825	202208	2022	2022.6438											GOV	GOVERNMENT						GOV			0	190	190	19	4	-10.0	10	1	10	-8.76288659793818	0								4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20220825080000	https://economynext.com/sri-lankas-private-bus-owners-go-to-unhrc-eu-over-unpaid-arson-compensation-99004/
1060104868	20220825	202208	2022	2022.6438											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	2.70270270270271	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825080000	https://www.glamsham.com/bollywood/news/raju-srivastava-has-regained-consciousness-sunil-pal
1060104869	20220825	202208	2022	2022.6438											IDN	INDONESIA	IDN								0	020	020	02	1	3.0	10	1	10	0.49382716049383	0								4	Sangsang, Jawa Tengah, Indonesia	ID	ID07	18585	-7.64	110.857	6295447	4	Sangsang, Jawa Tengah, Indonesia	ID	ID07	18585	-7.64	110.857	6295447	20220825080000	https://www.yahoo.com/now/kt-g-sangsang-univ-indonesia-064900598.html
1060104870	20220825	202208	2022	2022.6438											JEW	RABBI				JEW					1	043	043	04	1	2.8	2	1	2	2.56673511293635	0								3	Camp Ramah, California, United States	US	USCA		34.4628	-119.264	1870546	3	Camp Ramah, California, United States	US	USCA		34.4628	-119.264	1870546	20220825080000	https://jewishjournal.com/community/350928/rabbis-of-la-rabbi-aaron-finkelstein-the-educator-with-a-pastoral-focus/
1060104871	20220825	202208	2022	2022.6438											JEW	JEWISH				JEW					0	051	051	05	1	3.4	5	1	5	0.4524886877828	0								1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20220825080000	https://www.vcyamerica.org/one-year-bible/2022/08/25/august-25-miserable-comforters-4/
1060104872	20220825	202208	2022	2022.6438											JUD	ATTORNEY						JUD			1	051	051	05	1	3.4	2	1	2	1.62790697674419	0								3	Southfield, Michigan, United States	US	USMI	MI125	42.4734	-83.2219	638439	3	Southfield, Michigan, United States	US	USMI	MI125	42.4734	-83.2219	638439	20220825080000	https://www.pr.com/press-release/867922
1060104873	20220825	202208	2022	2022.6438											LEG	SENATOR						LEG			0	020	020	02	1	3.0	10	1	10	-2.81195079086116	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20220825080000	https://barbadostoday.bb/2022/08/25/missing-answers/
1060104874	20220825	202208	2022	2022.6438											LEG	CHAMBER						LEG			0	046	046	04	1	7.0	10	1	10	3.16901408450704	0								4	Latrobe, Tasmania, Australia	AS	AS06	5344	-41.2362	146.417	-1583130	4	Latrobe, Tasmania, Australia	AS	AS06	5344	-41.2362	146.417	-1583130	20220825080000	https://www.miragenews.com/small-business-festival-inspires-latrobe-city-843098/
1060104875	20220825	202208	2022	2022.6438											MDV	MALE	MDV								1	173	173	17	4	-5.0	10	1	10	-8.8541666666667	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20220825080000	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=41770
1060104876	20220825	202208	2022	2022.6438											MED	TELECOM						MED			1	043	043	04	1	2.8	5	1	5	-3.54330708661417	0								4	Sukkur, Sindh, Pakistan	PK	PK05	40404	27.7052	68.8574	-2775228	4	Sukkur, Sindh, Pakistan	PK	PK05	40404	27.7052	68.8574	-2775228	20220825080000	https://www.thenews.com.pk/latest/985310-internet-alert-pakistani-users-may-face-outages-due-to-floods
1060104877	20220825	202208	2022	2022.6438											MMRCVL	MYANMAR	MMR					CVL			0	010	010	01	1	0.0	3	1	3	-6.27118644067797	0								1	Myanmar	BM	BM		22	98	BM	1	Myanmar	BM	BM		22	98	BM	20220825080000	https://www.khaleejtimes.com/asia/myanmar-rohingyas-must-be-part-of-countrys-crisis-solution-says-un-chief
1060104878	20220825	202208	2022	2022.6438											OMN	OMAN	OMN								1	031	031	03	1	5.2	4	1	4	0.53763440860215	0								4	Ministry Of Interior, Masqat, Oman	MU	MU06	23611	23.5995	58.433	11333033	4	Ministry Of Interior, Masqat, Oman	MU	MU06	23611	23.5995	58.433	11333033	20220825080000	https://www.arabnews.com/node/2149931/business-economy
1060104879	20220825	202208	2022	2022.6438											PAK	PAKISTANI	PAK								1	0841	084	08	2	7.0	1	1	1	0.47732696897375	0								1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20220825080000	https://dailytimes.com.pk/987111/stolen-gandharan-sculpture-back-in-pakistan/
1060104880	20220825	202208	2022	2022.6438											REL	BISHOP									1	042	042	04	1	1.9	6	1	6	0	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220825080000	http://www.msn.com/en-us/movies/news/marvel-already-answered-she-hulk-s-hawkeye-mystery/ar-AA114GjJ
1060104881	20220825	202208	2022	2022.6438											SDN	SUDAN	SDN								1	042	042	04	1	1.9	10	1	10	3.27868852459016	0								1	Sudan	SU	SU		16	30	SU	1	Sudan	SU	SU		16	30	SU	20220825080000	http://www.channelafrica.co.za/sabc/home/channelafrica/news/details?id=ecd86b83-d16d-47ef-af82-3d1e1d8b74ac&title=US%20sends%20first%20ambassador%20to%20Sudan%20in%2025%20years
1060104882	20220825	202208	2022	2022.6438											TKM	TURKMEN	TKM								1	020	020	02	1	3.0	10	1	10	1.11524163568773	0								4	Turkmenbashi, Balkan, Turkmenistan	TX	TX02	147324	40.0222	52.9552	-2559540	4	Turkmenbashi, Balkan, Turkmenistan	TX	TX02	147324	40.0222	52.9552	-2559540	20220825080000	http://www.newscentralasia.net/2022/08/25/turkmen-delegation-discusses-opening-of-logistics-center-in-astrakhan/
1060104883	20220825	202208	2022	2022.6438											USA	UNITED STATES	USA								0	036	036	03	1	4.0	6	1	6	-0.56338028169014	0								3	Lagrange Point, Florida, United States	US	USFL		30.4316	-86.1549	301673	3	Lagrange Point, Florida, United States	US	USFL		30.4316	-86.1549	301673	20220825080000	https://spaceflightnow.com/2022/08/23/cubesats-on-artemis-1-to-pursue-bold-missions-in-deep-space/
1060104884	20220825	202208	2022	2022.6438											USA	UNITED STATES	USA								0	042	042	04	1	1.9	1	1	1	2.32919254658385	0								1	India	IN	IN		20	77	IN	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20220825080000	https://www.theepochtimes.com/17-year-old-pilot-sets-record-for-solo-flight-around-world_4685953.html
