1060129658	20220825	202208	2022	2022.6438											BUS	CORPORATION						BUS			0	051	051	05	1	3.4	6	1	6	-0.56561085972851	0								4	Littlehampton, West Sussex, United Kingdom	UK	UKP6	40137	50.8	-0.533333	-2601313	4	Littlehampton, West Sussex, United Kingdom	UK	UKP6	40137	50.8	-0.533333	-2601313	20220825113000	https://www.thenational.scot/news/20756770.robbie-gibb-tory-agent-emily-maitlis-says-influences-bbc/
1060129659	20220825	202208	2022	2022.6438											BUS	TANKER						BUS			1	062	062	06	2	7.4	10	1	10	6.66666666666667	0								1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20220825113000	https://lloydslist.maritimeintelligence.informa.com/LL1142048/FSL-Trust-sells-product-tanker
1060129660	20220825	202208	2022	2022.6438											BUS	INVESTOR						BUS			0	172	172	17	4	-5.0	5	1	5	-1.39186295503212	0								4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	20220825113000	http://www.msn.com/en-us/news/technology/how-your-attachment-style-shapes-your-friendships/ar-AA115g4z
1060129661	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	036	036	03	1	4.0	2	1	2	4.42622950819672	0								4	Goose Bay, Newfoundland, Canada	CA	CA05	154724	53.3333	-60.4167	-565365	4	Goose Bay, Newfoundland, Canada	CA	CA05	154724	53.3333	-60.4167	-565365	20220825113000	https://www.cbc.ca/news/canada/newfoundland-labrador/anita-anand-labrador-announcement-1.6560828
1060129662	20220825	202208	2022	2022.6438											CHN	CHINA	CHN								1	190	190	19	4	-10.0	10	1	10	-7.23589001447178	0								4	Poyang Lake, Jiangxi, China	CH	CH03	13165	28.8401	116.492	-1921353	4	Poyang Lake, Jiangxi, China	CH	CH03	13165	28.8401	116.492	-1921353	20220825113000	https://news.cgtn.com/news/2022-08-25/Droughts-that-have-swept-across-the-Northern-Hemisphere-1cMFxWH2ClO/
1060129663	20220825	202208	2022	2022.6438											COP	POLICE CHIEF						COP			0	020	020	02	1	3.0	6	1	6	-5.08866615265998	0								2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20220825113000	https://minnesotareformer.com/2022/08/25/policing-minneapolis-amid-a-staffing-shortage/
1060129664	20220825	202208	2022	2022.6438											COP	PRISON						COP			0	020	020	02	1	3.0	6	1	6	-4.1343669250646	0								1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20220825113000	https://sourcenm.com/2022/08/25/people-in-nm-prisons-often-held-at-the-wrong-security-level-report-shows/
1060129665	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	042	042	04	1	1.9	5	1	5	-7.82608695652174	0								4	Helsingborg, Skane Lan, Sweden	SW	SW27	26119	56.05	12.7	-2488057	4	Helsingborg, Skane Lan, Sweden	SW	SW27	26119	56.05	12.7	-2488057	20220825113000	https://www.thelocal.se/20220825/man-killed-in-shooting-in-swedish-city-of-helsingborg/
1060129666	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	0841	084	08	2	7.0	3	1	3	-6.25	0								4	Badawa, Katsina, Nigeria	NI	NI24	191048	11.7869	7.81757	-2001424	4	Badawa, Katsina, Nigeria	NI	NI24	191048	11.7869	7.81757	-2001424	20220825113000	https://pmnewsnigeria.com/2022/08/25/fire-guts-hospital-kills-1-in-kano/
1060129667	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	0841	084	08	2	7.0	1	1	1	-6.25	0								5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	20220825113000	https://pmnewsnigeria.com/2022/08/25/fire-guts-hospital-kills-1-in-kano/
